en,id
hi .,hai .
run !,lari !
run .,lari !
who ?,siapa ?
wow !,wow !
wow !,wah !
fire !,kebakaran !
fire !,tembak !
fire !,api !
help !,tolong !
jump !,lompat !
jump .,loncat .
stop !,berhenti !
wait !,tunggu !
wait .,tunggu .
hello .,halo .
hurry !,cepatlah !
hurry !,cepat !
hurry !,buruan !
i see .,aku mengerti .
i see .,begitu rupanya .
i see .,aku melihat .
i see .,"oh ,  begitu ."
i see .,saya melihat .
i see .,aku paham .
i won !,aku menang !
i won .,aku menang .
oh no !,"oh ,  tidak !"
relax .,tenanglah .
relax .,santai .
shoot !,tembak !
smile .,senyum .
attack !,serang !
cheers !,bersulang !
freeze !,jangan bergerak !
get up .,bangunlah .
got it !,aku mengerti !
got it ?,mengerti ?
he ran .,dia berlari .
i know .,aku tahu .
i know .,saya tahu .
i lied .,aku berbohong .
i lied .,saya berbohong .
i wept .,aku menangis .
i am  .,umur saya  tahun .
i am ok .,aku baik-baik saja .
listen .,dengar .
listen .,dengarkan .
no way !,tak bisa !
no way !,tidak mungkin !
really ?,benarkah ?
really ?,beneran ?
thanks !,makasih !
thanks .,terima kasih .
thanks .,makasih .
we try .,kami mencoba .
why me ?,kenapa harus saya ?
ask tom .,bertanyalah pada tom .
awesome !,mengagumkan !
awesome .,mengagumkan .
come in .,masuklah .
come on !,ayo !
get out !,keluar !
go away !,pergi !
goodbye !,sampai jumpa !
goodbye .,sampai jumpa .
he came .,dia datang .
he left .,dia pergi .
he runs .,dia berlari .
help me !,tolong aku !
help me .,tolong aku .
hold it !,tahan !
hold on .,tunggu sebentar .
i agree .,aku setuju .
i cried .,aku menangis .
i smoke .,aku merokok .
i am sad .,saya sedih .
i am sad .,aku sedih .
it is ok .,tidak apa-apa .
it is me !,ini aku !
it is me .,ini aku .
kiss me .,cium saya .
kiss me .,cium aku .
"me ,  too .",aku juga .
"me ,  too .",saya juga .
perfect !,sempurna !
see you !,sampai jumpa !
show me .,perlihatkan padaku .
show me .,perlihatin .
shut up !,diam !
shut up !,diamlah !
so long .,sampai jumpa .
tell me .,beri tahu aku .
tom won .,tom menang .
wake up !,bangun !
wake up !,bangunlah !
wake up .,bangunlah .
we know .,kami tahu .
we lied .,kita berbohong .
we lost .,kita kalah .
welcome .,selamat datang .
be still .,jangan bergerak .
do not go .,jangan pergi .
get lost !,pergi sana !
good job !,kerja yang bagus !
good job !,kerja bagus !
grab tom .,tangkap tom .
"hi ,  guys .","hai ,  kawan-kawan ."
i failed .,aku gagal .
i forgot .,aku lupa .
i forgot .,saya lupa .
i get it .,aku mengerti .
i got it .,aku mengerti .
i refuse .,aku menolak .
i refuse .,saya menolak .
i smiled .,aku tersenyum .
i stayed .,aku tetap tinggal .
i am busy .,aku sedang sibuk .
i am deaf .,aku tuli .
i am done .,aku sudah selesai .
i am dumb .,aku bodoh .
i am fine .,aku baik-baik saja .
i am glad .,saya senang .
i am here .,aku di sini .
i am lazy .,saya malas .
i am lazy .,aku malas .
i am lost .,saya tersesat .
i am okay .,aku baik-baik saja .
it is hot .,cuacanya panas .
it is hot .,itu panas .
it is odd .,itu aneh .
it is odd .,ini aneh .
it is red .,warnanya merah .
kiss tom .,ciumlah tom .
leave me .,tinggalkan aku .
let is go !,ayo !
look out !,awas !
she came .,dia datang .
she died .,dia mati .
she left .,dia pergi .
sit down !,duduklah !
sit down .,duduklah .
stand up !,berdiri !
stand up .,berdirilah .
terrific !,hebat !
they won .,mereka menang .
tom died .,tom meninggal .
tom lied .,tom berbohong .
tom lost .,tom kalah .
tom sang .,tom bernyanyi .
tom spit .,tom meludah .
tom wept .,tom menangis .
trust me .,percaya padaku .
use this .,pakailah ini .
we tried .,kami sudah mencoba .
what for ?,untuk apa ?
who is he ?,dia siapa ?
who is he ?,siapa dia ?
avoid tom .,hindari tom .
be seated .,duduklah .
bless you .,terberkatilah dirimu .
calm down .,tenanglah .
chill out .,tenanglah .
come here .,kemari .
come here .,kemarilah .
come here .,datanglah ke sini .
come soon .,datanglah segera .
cool down .,tenanglah .
dogs bark .,anjing menggonggong .
do not cry .,janganlah menangis .
do not cry .,jangan menangis .
do not die .,jangan mati .
excuse me .,permisi .
fantastic !,fantastis !
forget it .,lupakan .
forget it .,lupakan saja .
get a saw .,ambil gergaji .
get ready .,bersiaplah !
go to bed .,pergilah tidur .
good luck .,semoga beruntung !
good luck .,semoga sukses !
goodnight .,selamat tidur .
he is ill .,dia sakit .
he is ill .,dia sedang sakit .
he smiled .,dia tersenyum .
he is a dj .,dia adalah seorang dj .
he is busy .,dia sedang sibuk .
he is lazy .,dia pemalas .
he is rich .,dia kaya .
he is sexy .,dia seksi .
i can ski .,saya bisa bermain ski .
i crawled .,aku merangkak .
i fainted .,aku pingsan .
i fainted .,saya pingsan .
i gave up .,aku menyerah .
i gave up .,saya menyerah .
i give up .,aku menyerah .
i give up .,saya menyerah .
i hit tom .,aku memukul tom .
i laughed .,aku tertawa .
i laughed .,saya tertawa .
i mean it !,aku serius !
i mean it .,aku serius .
i promise .,aku janji .
i slipped .,aku terpeleset .
i am a man .,aku laki-laki .
i am blind .,aku buta .
i am bored .,saya bosan .
i am bored .,aku bosan .
i am clean .,aku bersih .
i am drunk .,aku mabuk .
i am first .,aku yang pertama .
i am happy .,saya senang .
i am naked .,aku telanjang .
i am right .,aku benar .
i am sorry .,saya minta maaf .
i am tired .,aku lelah .
is he tom ?,apakah dia tom ?
it is  .,sekarang pukul  .  .
it is cold .,dingin .
it is fake .,itu palsu .
it is food .,ini adalah makanan .
it is near .,sudah dekat .
it is okay .,tidak apa-apa .
let is try !,mari kita coba !
let is try .,mari kita coba .
move over .,meminggirlah .
move over .,minggir !
of course !,tentu saja !
of course .,tentu saja .
open fire !,tembak !
pipe down !,harap tenang !
see above .,lihat di atas
see below .,lihat di bawah ini .
seriously ?,masa ?
seriously ?,serius ?
seriously ?,beneran ?
she walks .,dia berjalan kaki .
she walks .,dia berjalan .
stay home .,tinggallah di rumah !
stop here .,berhenti di sini .
stop that !,hentikan itu !
stop that .,hentikan itu .
take both .,ambil keduanya .
thank you .,terima kasih .
that is me .,itulah saya .
that is me .,itu aku .
then what ?,terus kenapa ?
they lied .,mereka berbohong .
they swam .,mereka berenang .
time is up .,waktu habis .
tom cried .,tom menangis .
tom knits .,tom merajut .
tom puked .,tom muntah .
tom reads .,tom membaca .
tom is fat .,tom gemuk .
try again .,coba lagi .
turn left .,belok kiri .
watch out !,awas !
well done !,kerja yang bagus !
well done !,kerja bagus !
what is up ?,ada apa ?
who is he ?,dia siapa ?
who is he ?,siapa dia ?
who is tom ?,tom itu siapa ?
who is she ?,siapa dia ?
wonderful !,luar biasa !
are you ok ?,kamu tidak apa-apa ?
be careful !,hati-hati !
be careful .,hati-hati .
birds sing .,burung-burung bernyanyi .
bring wine .,bawalah anggur .
come on in .,masuklah .
come watch .,ayo tonton .
cut it out !,sudah hentikan !
cut it out .,sudah hentikan .
do not kick .,jangan menendang .
do not kiss .,jangan berciuman .
do not move !,jangan bergerak !
do not move .,jangan bergerak .
do not spit .,jangan meludah .
do not talk !,jangan berbicara !
duty calls .,panggilan tugas .
eat slowly .,makan pelan-pelan .
follow him .,ikuti dia .
forget him .,lupakan dirinya .
forget him .,lupakan dia .
forgive me .,maafkan aku
forgive me .,maafkan aku .
forgive me .,maafkan saya .
get a bowl .,ambil mangkuk .
he is a dj .,dia adalah seorang dj .
he is busy .,dia sedang sibuk .
he is here !,dia di sini !
he is lazy .,dia pemalas .
he is sick .,dia sakit .
he is sick .,dia sedang sakit .
he is smart .,dia pintar .
"hello ,  tom .","halo ,  tom !"
here it is .,ini dia .
how boring !,membosankan sekali !
how clever !,pintar !
i am a man .,aku laki-laki .
i am going .,saya pergi .
i am happy .,saya senang .
i am right .,aku benar .
i can sing .,aku bisa menyanyi .
i can walk .,saya bisa berjalan .
i cannot go .,saya tidak bisa pergi .
i cannot go .,aku tidak boleh pergi .
i eat rice .,aku makan nasi .
i hate tom .,aku benci tom .
i hate you .,aku membencimu .
i just ate .,aku baru makan .
i like art .,aku suka seni .
i like art .,saya suka seni .
i like him .,aku suka dia .
i like you .,aku suka kamu .
i like you .,saya suka kamu .
i love you .,aku cinta kamu .
i love you .,aku mencintaimu
i miss him .,aku merindukannya .
i miss him .,aku rindu dia .
i miss him .,saya merindukannya .
i miss you .,aku merindukanmu .
i miss you .,aku rindu kamu .
i screamed .,saya berteriak .
i screamed .,aku berteriak .
i am a hero .,aku pahlawan .
i am a star .,aku seorang bintang .
i am a star .,aku sebuah bintang .
i am eating .,aku lagi makan .
i am hiding .,aku sedang sembunyi .
i am hungry !,aku lapar !
i am hungry !,aku lapar .
i am hungry .,saya lapar .
i am hungry .,aku lapar .
i am joking .,aku bercanda .
i am pooped .,aku sangat capek .
i am scared .,aku takut .
i am sleepy !,aku ngantuk !
i am sleepy .,aku ngantuk .
i am sleepy .,aku mengantuk .
i am stupid .,aku bodoh .
i have eaten .,aku sudah makan .
is tom ill ?,apa tom sakit ?
is it good ?,emang enak ?
is it love ?,apakah ini cinta ?
is it true ?,apa itu benar ?
is that so ?,apa benar begitu ?
it will burn .,itu akan terbakar
it is close .,sudah dekat .
it is night .,sekarang malam .
it is paper .,ini merupakan kertas .
it is paper .,ini kertas .
it is pasta .,itu pasta .
it is safer .,ini lebih aman .
it is spicy .,rasanya pedas .
it is three .,sekarang jam tiga .
it is weird .,itu aneh .
it is weird .,ini aneh .
it is wrong .,itu salah .
